Labeller,Overlap Done,Individual Done,Progress (%),Irrelevant Flags
Labeller 1,78/236,0/157,19.8%,52
Labeller 2,165/236,0/158,41.9%,81
Labeller 3,138/236,0/158,35.0%,114
Labeller 4,0/236,0/158,0.0%,0
Labeller 5,236/236,156/157,99.7%,189
Labeller 6,89/236,0/157,22.6%,70
